Date Soumission;Profil Rôle;Usages recherchés (Contextes d'Usage);Attentes de la formation;Outils IA déjà utilisés
14/09/2026 10:20:46;"Admin / Secrétariat";"Synthèse de documents & notes, Rédaction de courriers & rapports";"Découvrir de nouveaux outils, Rédiger de bons prompts, Comprendre les limites, Sécurité & RGPD, Gagner du temps";"ChatGPT"
11/09/2026 14:54:04;"Technique / Informatique";"Analyse de données & chiffres, Synthèse de documents & notes, Création de visuels & diaporamas";"Pratique & cas concrets, Gagner du temps, Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Rédiger de bons prompts";"Mistral"
09/09/2026 08:57:45;"Admin / Secrétariat";"Rédaction de courriers & rapports, Recherche d'informations & veille, Admin/secrétariat + culture/éducation, Synthèse de documents & notes";"Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Gagner du temps";"ChatGPT, Gemini, Https://comparia.beta.gouv.fr"
08/09/2026 16:41:54;"Cadre / Manager";"Rédaction de courriers & rapports, Synthèse de documents & notes, Création de visuels & diaporamas, Recherche d'informations & veille, Analyse de données & chiffres";"Découvrir de nouveaux outils, Rédiger de bons prompts, Gagner du temps";"ChatGPT, Gemini"
03/09/2026 09:55:41;"Cadre / Manager";"Synthèse de documents & notes, Analyse de données & chiffres, Rédaction de courriers & rapports";"Découvrir de nouveaux outils, Comprendre les limites, Sécurité & RGPD, Gagner du temps";"ChatGPT, Mistral, Claude"
02/09/2026 17:09:45;"Autre Profil";"Rédaction de courriers & rapports, Recherche d'informations & veille, Synthèse de documents & notes, Analyse de données & chiffres";"Découvrir de nouveaux outils, Comprendre les limites, Pratique & cas concrets, Gagner du temps";"ChatGPT, Gemini"
01/09/2026 16:32:09;"Admin / Secrétariat";"Rédaction de courriers & rapports, Recherche d'informations & veille, Création de visuels & diaporamas, Synthèse de documents & notes, Planning du personnel, Analyse de données & chiffres";"Comprendre les limites, Sécurité & RGPD, Pratique & cas concrets, Gagner du temps";"Gemini, ChatGPT, Canva"
01/09/2026 12:03:23;"Admin / Secrétariat";"Recherche d'informations & veille, Rédaction de courriers & rapports, Aide au codage & automatisation";"Découvrir de nouveaux outils, Pratique & cas concrets";"ChatGPT, Gemini, Canva"
01/09/2026 09:30:19;"Admin / Secrétariat";"Recherche d'informations & veille, Rédaction de courriers & rapports";"Découvrir de nouveaux outils, Comprendre les limites, Pratique & cas concrets, Sécurité & RGPD";"Mistral"
31/08/2026 21:23:33;"Technique / Informatique";"Recherche d'informations & veille, Rédaction de courriers & rapports, Synthèse de documents & notes";"Gagner du temps, Comprendre les limites, Pratique & cas concrets, Découvrir de nouveaux outils";"Gemini"
31/08/2026 15:30:47;"Admin / Secrétariat";"Rédaction de courriers & rapports, Synthèse de documents & notes, Recherche d'informations & veille";"Découvrir de nouveaux outils, Comprendre les limites, Pratique & cas concrets, Gagner du temps";"ChatGPT"
